ID,start_time,end_time,subset_cen_lon,subset_cen_lat,subset_duration(hour),subset_area(sqkm),subset_ture_area(sqkm),raw_duration(hour),raw_timestamp(hour),season,season_id,month,avg_spd(km/hour),avg_bearing(degree),raw_avg_land_area(sqkm),arkansas_storm,selected_mtpr(mm/hour),land_mtpr,land_mer,land_mvimd,land_dwdt,land_t2m,land_mcpr,land_mcsr,land_mlspr,land_mlssr,land_msl,land_q,land_qx,land_qy,land_tcwv,land_residual,year
195104370,1951-06-11 12:00:00,1951-06-11 13:00:00,-97.36455,35.18629,2,5000,5034.7744,48,1951-06-10 16:00:00,sum,2,6,69.47448694087188,118.77816070923498,625306.28125,1,14.975007,14.975007,-0.040621936,-17.823465,1.42103,289.93414,14.47387,2.0954758e-07,0.5011912,0.0,101049.28,802.8192,779.62714,-110.962715,39.395393,-1.46805,1951
195210510,1952-11-25 10:00:00,1952-11-25 11:00:00,-94.53386,34.123135,2,5000,5099.649,78,1952-11-23 03:00:00,fal,3,11,27.19213180598627,35.999548441241586,2139030.875,1,12.807881,12.807881,-0.0012055655,-11.640725,-1.01984,284.05136,0.36070463,0.0,12.447194,0.0,99957.164,3351.047,826.54865,3131.6384,37.503464,0.14611077,1952
195306265,1953-07-20 11:00:00,1953-07-20 12:00:00,-95.00954,35.54977,2,5000,5011.4443,98,1953-07-18 06:00:00,sum,2,7,87.5640699926941,-120.93405982943754,943178.71875,1,17.226973,17.226973,-0.06426908,-22.010077,0.21822259,294.9995,1.417292,0.0,15.810016,0.0,101279.266,2051.2598,1427.4016,1328.1702,60.295456,-4.6291513,1953
195402842,1954-05-02 01:00:00,1954-05-02 02:00:00,-95.3053,34.87603,2,5000,5054.047,68,1954-04-30 16:00:00,spr,1,4,38.08771713753352,3.51178695524181,1509169.375,1,15.590248,15.590248,-0.018187558,-17.116068,1.5095855,293.2053,14.861525,0.0,0.7287915,0.0,100535.96,2974.6895,381.49106,2925.776,43.752525,-0.0344218,1954
195506836,1955-08-03 03:00:00,1955-08-03 04:00:00,-93.4431,31.91989,2,5000,5227.9116,27,1955-08-02 18:00:00,sum,2,8,15.424964922681008,-5.6213646509768544,241591.796875,1,15.190276,15.190276,-0.068164326,-19.588594,0.14797196,296.38043,0.4194022,2.0954758e-07,14.770833,-4.1909516e-07,101014.32,2894.2334,2.7882788,2848.1833,62.033672,-4.31851,1955
195602635,1956-04-29 01:00:00,1956-04-29 02:00:00,-94.42677,35.66018,2,5000,5005.5728,53,1956-04-28 16:00:00,spr,1,4,56.09354131037304,90.31770659168433,1037198.375,1,11.109135,11.109135,-0.013023732,-11.619061,1.071385,291.85095,10.589132,0.0,0.52000237,-4.1909516e-07,100837.94,3324.4458,1822.2946,2776.6873,42.020218,0.54843485,1956
195707692,1957-08-13 11:00:00,1957-08-13 12:00:00,-92.04042,36.20411,2,5000,4970.0596,24,1957-08-12 20:00:00,sum,2,8,59.34259185900275,104.44107696281583,301922.4375,1,16.73186,16.73186,-0.17071131,-21.15339,0.5414715,294.81378,1.2743493,-2.0954758e-07,15.456983,0.0,101126.836,2816.842,1855.8457,1733.6102,59.697903,-4.0507717,1957
195805469,1958-07-07 04:00:00,1958-07-07 05:00:00,-96.2188,35.20995,2,5000,5032.829,27,1958-07-06 08:00:00,sum,2,7,41.01665150288022,67.12006640561987,921296.09375,1,23.301022,23.301022,-0.054537117,-32.303017,0.33181277,294.74838,2.7551143,0.0,20.545975,0.0,101497.16,710.08136,-188.52512,644.79834,49.69161,-8.724719,1958
195910660,1959-11-04 10:00:00,1959-11-04 11:00:00,-91.5921,36.76145,2,5000,5553.069,52,1959-11-03 12:00:00,fal,3,11,51.08796700633469,52.872617935776695,1517319.0625,1,12.979418,12.979418,-0.014578805,-13.936134,-3.95471,289.6646,0.65820175,-2.0954758e-07,12.321222,0.0,100117.305,2267.8325,1708.6887,1481.7383,37.90725,-4.9260054,1959
196003308,1960-05-18 23:00:00,1960-05-19 00:00:00,-94.9061,33.121017,2,5000,5159.2607,51,1960-05-17 18:00:00,spr,1,5,68.55536495172123,-16.40301590651964,943676.53125,1,12.521143,12.521143,-0.074100554,-15.268986,1.650186,297.69443,12.1727495,0.0,0.3483545,4.1909513e-07,100563.38,2328.6108,1327.5474,1900.1451,49.446434,-1.1717573,1960
196108666,1961-09-13 08:00:00,1961-09-13 09:00:00,-96.33137,36.945618,2,5000,5538.92,57,1961-09-12 14:00:00,fal,3,9,24.393262598500716,73.62040509047065,1499653.875,1,18.061037,18.061037,-0.08783481,-22.952684,-1.9851675,294.05548,0.29443917,0.0,17.766682,4.1909516e-07,99693.484,2337.3235,-1805.2202,-704.5768,62.602673,-6.96465,1961
196206309,1962-08-01 11:00:00,1962-08-01 12:00:00,-99.852325,37.712524,2,5000,5481.951,27,1962-07-31 18:00:00,sum,2,7,40.51839527714382,99.80524236232296,360212.9375,1,17.023605,17.023605,-0.024425233,-22.414415,-2.370556,291.09192,1.3121864,2.0954758e-07,15.71154,0.0,101931.68,260.31903,52.22178,-192.33788,42.685555,-7.7857914,1962
196303643,1963-05-26 02:00:00,1963-05-26 03:00:00,-95.28856,36.65619,2,5000,4942.1377,121,1963-05-23 18:00:00,spr,1,5,195.09505964715413,50.26407555558421,430384.53125,1,12.905667,12.905667,-0.028084366,-13.961962,1.4701034,293.83704,12.503117,-2.0954757e-07,0.40244064,0.0,101088.625,1563.1631,906.31024,1269.848,41.995518,0.3857242,1963
196409877,1964-11-03 22:00:00,1964-11-03 23:00:00,-98.8514,36.114582,2,5000,4977.9355,35,1964-11-03 12:00:00,fal,3,11,14.854278352909201,177.3005195625518,680139.6875,1,14.845122,14.845122,-0.02924284,-19.865389,-1.5525862,286.84714,2.429343,0.0,12.416013,0.0,101253.49,874.18146,147.71008,824.6563,32.55271,-6.602095,1964
196504256,1965-06-10 01:00:00,1965-06-10 02:00:00,-100.98445,37.719776,2,5000,5481.951,59,1965-06-09 11:00:00,sum,2,6,26.507209730543433,39.75593304293473,723311.75,1,12.249438,12.249438,-0.052708145,-17.491581,0.61232257,293.87628,10.2693205,-2.0954758e-07,1.979975,0.0,101046.25,1959.5735,186.6848,1950.5371,36.318535,-4.6825275,1965
196600716,1966-02-10 00:00:00,1966-02-10 01:00:00,-91.37357,36.069492,2,5000,4979.881,128,1966-02-08 02:00:00,win,4,2,48.93744015938105,57.05243569348452,1033919.0625,1,13.444454,13.444454,-0.037873983,-12.272276,-1.7591349,288.25986,0.67491704,0.0,12.769424,0.0,100813.46,1899.9725,910.0592,1648.3282,32.809032,-0.62483084,1966
196702363,1967-04-13 22:00:00,1967-04-13 23:00:00,-93.59431,32.716694,2,5000,5182.8594,86,1967-04-11 07:00:00,spr,1,4,68.8949523310753,29.210239116167898,1663866.25,1,15.894576,15.894576,-0.103180595,-18.123493,-2.488755,291.53604,1.592723,0.0,14.301767,0.0,100884.9,2715.6438,1384.7554,2314.9758,47.748608,-4.820853,1967
196808676,1968-09-17 20:00:00,1968-09-17 21:00:00,-91.34137,36.964096,2,5000,5538.9434,120,1968-09-14 08:00:00,fal,3,9,18.678986908566287,-78.15740257829552,1385417.75,1,17.057163,17.057163,-0.10525447,-22.43447,-2.1074808,291.6098,1.2638688,2.0954758e-07,15.793457,2.0954758e-07,100600.01,1840.3354,825.8384,1571.1315,50.963562,-7.590042,1968
196902838,1969-05-06 23:00:00,1969-05-07 00:00:00,-99.62772,35.14901,2,5000,5036.6836,77,1969-05-05 18:00:00,spr,1,5,20.911111951176014,136.25172121471334,1554110.25,1,18.271158,18.271158,-0.032732956,-25.28708,0.84179467,289.49847,4.302086,0.0,13.968968,0.0,100769.08,1330.2124,-819.7211,648.21234,38.42581,-6.20686,1969
197004161,1970-06-12 00:00:00,1970-06-12 01:00:00,-96.53395,35.78186,2,5000,4997.7085,80,1970-06-10 17:00:00,sum,2,6,29.91669124839467,19.124656080631848,1405950.0,1,14.27951,14.27951,-0.085464925,-14.674857,0.5564258,294.97635,13.279688,-2.0954758e-07,0.9998569,0.0,99836.58,3359.7446,1163.7682,3135.2861,44.06397,0.07561374,1970
197109653,1971-10-18 10:00:00,1971-10-18 11:00:00,-99.212036,36.410675,2,5000,4958.0674,123,1971-10-16 12:00:00,fal,3,10,50.41385192067962,-0.0017130287226632124,1396565.875,1,13.707165,13.707165,-0.034766287,-14.083748,-1.0846043,291.23953,2.1667426,0.0,11.540234,0.0,100468.23,2666.7654,1441.5947,2202.1191,43.13158,-1.4959536,1971
197210054,1972-10-22 18:00:00,1972-10-22 19:00:00,-92.27773,35.41155,2,5000,5021.122,110,1972-10-18 18:00:00,fal,3,10,67.69300649303834,80.88019655275124,1892778.875,1,13.23611,13.23611,-0.032090284,-11.186147,-2.5540266,290.99597,0.3790854,0.0,12.856848,0.0,100951.195,2649.7961,1793.3684,1906.6465,47.349586,-0.5361538,1972
197310809,1973-11-20 02:00:00,1973-11-20 03:00:00,-97.32801,36.491234,2,5000,5571.0386,33,1973-11-19 20:00:00,fal,3,11,33.005533026857684,120.49943521058886,1520958.125,1,18.720503,18.720503,-0.027735054,-26.666157,-1.9996561,289.76862,3.9212928,0.0,14.79906,-4.190952e-07,99961.586,1490.1086,752.6436,1254.3898,34.580597,-9.973044,1973
197410189,1974-10-31 12:00:00,1974-10-31 13:00:00,-95.176796,34.783302,2,5000,5057.805,60,1974-10-30 14:00:00,fal,3,10,25.18759593544361,105.8132261819645,1998754.125,1,16.94295,16.94295,-0.06743107,-20.134127,0.9037189,290.52194,0.7822917,2.095476e-07,16.16061,0.0,101380.03,2994.075,884.1166,2832.147,41.325188,-2.354889,1974
197506392,1975-07-25 03:00:00,1975-07-25 04:00:00,-99.82789,34.254997,2,5000,5092.1816,34,1975-07-23 19:00:00,sum,2,7,38.64455750720711,86.17399681827793,655071.1875,1,13.84999,13.84999,-0.09813821,-21.500574,0.59823877,292.67273,1.6267589,0.0,12.223386,0.0,101508.71,1648.1085,-1599.6212,48.566265,52.019287,-7.150483,1975
197604516,1976-06-18 14:00:00,1976-06-18 15:00:00,-94.30721,34.729473,2,5000,5063.665,11,1976-06-18 11:00:00,sum,2,6,348.8555397079229,-72.31247913271743,903750.84375,1,15.337542,15.337542,-0.025032993,-22.590776,-1.4368943,293.54968,1.5515904,-2.0954761e-07,13.78622,0.0,101389.77,655.76373,627.5827,-23.571104,46.689754,-8.715162,1976
197701829,1977-03-27 03:00:00,1977-03-27 04:00:00,-97.7565,34.83702,2,5000,5055.92,36,1977-03-26 12:00:00,spr,1,3,42.581964805899275,76.7858292558854,1183284.6875,1,16.374083,16.374083,0.0018800923,-19.118567,-0.26710218,288.88666,0.5016854,0.0,15.872325,4.1909516e-07,100881.2,1057.1902,247.62311,1009.9315,36.94191,-3.0097055,1977
197807990,1978-08-30 00:00:00,1978-08-30 01:00:00,-91.30434,36.095787,2,5000,4977.983,191,1978-08-27 22:00:00,sum,2,8,26.32516405266771,-53.82180901380361,529144.9375,1,13.011258,13.011258,-0.1715809,-17.080635,0.54169667,291.87253,0.75752366,2.0954758e-07,12.253775,0.0,100991.48,1994.9144,-1822.2128,589.5286,52.72061,-3.6992617,1978
197909899,1979-10-31 00:00:00,1979-10-31 01:00:00,-95.00001,35.13732,2,5000,5038.413,59,1979-10-29 09:00:00,fal,3,10,25.21969150807537,51.39515137734064,1326050.8125,1,18.152052,18.152052,-0.1421695,-19.679253,-5.33337,291.49426,1.037185,0.0,17.114862,4.190952e-07,99865.86,2262.8298,369.40204,2230.898,41.75111,-7.002741,1979
